token_symbol,chain,contract_address,pool_rank,dex,pool_address,pool_name,pool_tvl_usd,volume_24h_usd,ohlcv_token,base_token_id,quote_token_id
UNI,eth,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1,uniswap_v3,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI / WETH 0.3%,13031753.9343,1032075.77371434,base,eth_0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
UNI,eth,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2,uniswap-v4-ethereum,0xcd019866bb9876e0c3f135bc5fe856a0566d490c1b2fcca97e8205ee25048e6f,AAVE / UNI 0.3%,1107405.2276,424153.72380144,quote,eth_0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,eth_0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
UNI,eth,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3,uniswap_v3,0x3470447f3cecffac709d3e783a307790b0208d60,UNI / USDT 0.3%,2017994.3899,276219.261249895,base,eth_0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth_0xdac17f958d2ee523a2206206994597c13d831ec7
UNI,eth,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4,uniswap-v4-ethereum,0x9a5c1d2f4a7a7962a63259de6fcc1afb1d0aa1abdf5d19c23d22fd78953c5167,USDC / UNI 0.3%,1636838.2666,274426.839298597,quote,eth_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth_0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
UNI,eth,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5,uniswap-v4-ethereum,0x053f6a47ccba79e7d5d623173ed6dd5a31cf19c28bae0fb8276f4506295f90da,UNI / ETH 0.3%,4093073.8271,136396.772045115,base,eth_0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth_0x0000000000000000000000000000000000000000
AAVE,eth,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1,uniswap-v4-ethereum,0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8,AAVE / USDC 0.3%,2178784.8201,1408433.90309644,base,eth_0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,eth_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
AAVE,eth,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,2,uniswap_v3,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE / WETH 0.3%,3515904.8797,1180472.89567122,base,eth_0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
AAVE,eth,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,3,uniswap_v3,0x4674abc5796e1334b5075326b39b748bee9eaa34,AAVE / WETH 0.05%,372573.2416,991471.365901246,base,eth_0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
AAVE,eth,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,4,uniswap-v4-ethereum,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088,ETH / AAVE 0.3%,1684893.2455,585344.865901617,quote,eth_0x0000000000000000000000000000000000000000,eth_0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
AAVE,eth,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,5,balancer_ethereum,0x3de27efa2f1aa663ae5d458857e731c129069f29,wstETH / AAVE 0.292%,13008122.8615,576005.479015876,quote,eth_0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,eth_0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
